Designator,"Mid X" ,"Mid Y",Layer,Rotation
"C1",172.375000 ,-33.600000,Top,180.000000
"C2",166.840000 ,-55.760000,Top,0.000000
"C3",131.300000 ,-55.500000,Top,0.000000
"C4",119.200000 ,-84.780000,Top,180.000000
"C5",182.500000 ,-72.900000,Top,90.000000
"C6",138.700000 ,-90.100000,Top,90.000000
"C7",270.850000 ,-51.000000,Top,180.000000
"C8",130.440000 ,-79.640000,Top,0.000000
"C9",145.750000 ,-10.250000,Top,180.000000
"C10",166.100000 ,-8.765000,Top,90.000000
"C11",173.635000 ,-20.550000,Top,90.000000
"C12",189.211371 ,-51.462953,Top,90.000000
"C13",171.635000 ,-20.550000,Top,90.000000
"C14",149.900000 ,-72.900000,Top,90.000000
"C15",257.850000 ,-36.102500,Top,90.000000
"C17",163.000000 ,-72.900000,Top,90.000000
"C18",174.500000 ,-72.900000,Top,90.000000
"C19",189.500000 ,-72.900000,Top,90.000000
"C20",253.820000 ,-53.020000,Top,90.000000
"C21",259.750000 ,-53.810000,Top,180.000000
"C22",256.290000 ,-54.600000,Top,90.000000
"C23",244.860000 ,-61.090000,Top,90.000000
"C24",263.030000 ,-66.570000,Top,270.000000
"C25",257.410000 ,-86.560000,Top,180.000000
"C26",254.630000 ,-89.260000,Top,0.000000
"C27",253.050000 ,-81.460000,Top,180.000000
"C28",222.275000 ,-94.850000,Top,0.000000
"C30",137.700000 ,-46.800000,Top,270.000000
"D1",117.780000 ,-40.410000,Top,0.000000
"D2",117.780000 ,-38.158334,Top,0.000000
"D3",114.800000 ,-15.650000,Top,90.000000
"D6",134.880000 ,-20.210293,Top,90.000000
"D7",137.410000 ,-20.210293,Top,90.000000
"D8",122.760000 ,-69.150000,Top,180.000000
"D9",173.744189 ,-11.131035,Top,270.000000
"D10",171.204189 ,-11.131035,Top,270.000000
"D11",123.052634 ,-52.877042,Top,180.000000
"D12",123.052634 ,-49.910374,Top,180.000000
"D13",123.052634 ,-46.943708,Top,180.000000
"D14",123.052634 ,-43.977042,Top,180.000000
"FB1",257.870000 ,-84.070000,Top,0.000000
"GRAPHIC1",230.730000 ,-77.000000,Top,0.000000
"J1",231.080000 ,-27.730000,Top,270.000000
"J4",200.000000 ,-100.000000,Top,180.000000
"J5",268.900000 ,-62.300000,Top,90.000000
"J6",270.750000 ,-79.070000,Top,90.000000
"J8",263.000000 ,-36.890000,Top,180.000000
"JAB1",130.000000 ,-61.750000,Top,90.000000
"JCD1",130.000000 ,-30.000000,Top,90.000000
"P1",156.000000 ,-12.750000,Top,180.000000
"R1",121.520000 ,-40.410000,Top,180.000000
"R2",121.520000 ,-38.158334,Top,180.000000
"R3",114.800000 ,-12.000000,Top,270.000000
"R4",160.500000 ,-72.200000,Top,180.000000
"R5",133.497842 ,-86.007091,Top,90.000000
"R6",131.697842 ,-86.007091,Top,90.000000
"R7",129.897842 ,-86.007091,Top,90.000000
"R8",166.385000 ,-23.600000,Top,0.000000
"R9",270.337500 ,-46.930000,Top,180.000000
"R11",134.880000 ,-16.060293,Top,270.000000
"R12",137.420000 ,-16.060293,Top,270.000000
"R13",118.610000 ,-69.150000,Top,0.000000
"R14",173.744189 ,-15.161035,Top,90.000000
"R15",171.204189 ,-15.161035,Top,90.000000
"R16",119.052634 ,-52.877042,Top,0.000000
"R17",119.052634 ,-49.910374,Top,0.000000
"R18",119.052634 ,-46.943708,Top,0.000000
"R19",119.052634 ,-43.977042,Top,0.000000
"R22",260.500000 ,-78.395000,Top,180.000000
"R23",260.500000 ,-80.395000,Top,180.000000
"R26",249.240000 ,-86.310000,Top,180.000000
"R27",249.240000 ,-84.110000,Top,180.000000
"R36",114.400000 ,-83.700000,Top,180.000000
"R37",120.300000 ,-79.800000,Top,0.000000
"R38",125.500000 ,-83.300000,Top,180.000000
"R39",121.400000 ,-82.700000,Top,0.000000
"R40",181.412661 ,-85.255497,Top,0.000000
"R41",185.800000 ,-72.500000,Top,180.000000
"R42",143.000000 ,-84.900000,Top,180.000000
"R43",144.600000 ,-83.200000,Top,0.000000
"R44",135.900000 ,-89.600000,Top,90.000000
"R45",139.600000 ,-84.900000,Top,180.000000
"U1",116.700000 ,-88.780000,Top,0.000000
"U2",184.500000 ,-78.500000,Top,90.000000
"U3",143.750000 ,-88.750000,Top,180.000000
"U4",265.400000 ,-79.395000,Top,270.000000
"U5",152.500000 ,-78.500000,Top,90.000000
"U6",165.500000 ,-78.500000,Top,90.000000
"U7",177.000000 ,-78.500000,Top,90.000000
"U8",192.000000 ,-78.500000,Top,90.000000
"U9",250.950000 ,-58.950000,Top,0.000000
"U11",252.900000 ,-85.210000,Top,270.000000
"U13",132.450000 ,-74.940000,Top,180.000000
"U14",142.200000 ,-48.800000,Top,90.000000
"U15",184.511371 ,-49.462953,Top,270.000000
"X1",168.260000 ,-20.500000,Top,180.000000
